Probe_CallRate	Probe_Id
0.984375	cg03955296
0.984375	cg15477570
0.984375	cg10951380
0.5	cg22162544
0.984375	cg22602513
0.984375	cg26917305
0.984375	cg02322641
0.296875	cg13485746
0.953125	cg18107078
0.421875	cg19769164
0.984375	cg27245312
0.984375	cg15896487
0.609375	cg18315312
0.84375	cg18232980
0.828125	cg22797031
0.984375	cg02142558
0.96875	cg11803838
0.984375	cg02033606
0.984375	cg00238533
0.96875	cg11578385
0.984375	cg06024806
0.984375	cg23679894
0.984375	cg15503098
0.484375	cg14172633
0.828125	cg26714711
0.984375	cg16327740
0.984375	cg13371627
0.984375	cg03234325
0.984375	cg10785099
0.984375	cg01807886
0.984375	cg09154356
0.984375	cg01048764
0.984375	cg00921097
0.984375	cg25754958
0.984375	cg19092248
0.984375	cg09138445
0.984375	cg16520053
0.984375	cg08530008
0.984375	cg08830492
0	cg23841819
0.984375	cg25551287
0.984375	cg25022560
0.984375	cg10439914
0.984375	cg17933812
0.984375	cg23520347
0.953125	cg22944368
0.03125	cg11666326
0.984375	cg10236452
0.984375	cg25192855
0.984375	cg08707786
0.984375	cg21308754
0.984375	cg06582752
0.984375	cg25347098
0.515625	cg10585941
0.984375	cg08626125
0.984375	cg03219968
0.96875	cg00152577
0.984375	cg07017209
0.984375	cg26338627
0.984375	cg10386298
0.984375	cg24150051
0.984375	cg09694381
0.984375	cg20449648
0.953125	cg15087369
0.984375	cg04213163
0.984375	cg00786909
0.984375	cg16166739
0.984375	cg19238422
0.96875	cg03419458
0.640625	cg11161882
0.984375	cg14559881
0.984375	cg14852384
0.984375	cg00906976
0.984375	cg07187233
0	cg16026114
0.96875	cg00723431
0.890625	cg17802005
0.984375	cg07187135
0.984375	cg16376237
0.5	cg27212848
0.984375	cg17435796
0.984375	cg08277287
0.984375	cg26694028
0.984375	cg08456352
0.984375	cg06352443
0.984375	cg06946154
0.984375	cg18174258
0.984375	cg10645483
0.984375	cg24116222
0.984375	cg26769118
0.984375	cg20517784
0.984375	cg20651218
0.984375	cg15346619
0.96875	cg26311782
0.984375	cg07124492
0.984375	cg02309026
0.984375	cg04699214
0.984375	cg12036553
0.984375	cg11130780
0.984375	cg04976075
0.484375	cg02851212
0.984375	cg08218646
0.984375	cg17522332
0.984375	cg18620927
0.984375	cg11322076
0.984375	cg06509933
0.984375	cg21540743
0.984375	cg10923346
0.984375	cg04854908
0.984375	cg18119011
0.984375	cg22783180
0.984375	cg15803869
0.984375	cg01166071
0.984375	cg10347101
0.984375	cg26038636
0.734375	cg26459700
0.984375	cg15167008
0.984375	cg15364548
0.984375	cg13473894
0.984375	cg19042340
0.984375	cg09062220
0.984375	cg00520540
0.875	cg04895321
0.984375	cg07990022
0.984375	cg01003015
0.984375	cg23991622
0.984375	cg22707130
0.984375	cg16342842
0.984375	cg24022375
0.984375	cg15895339
0.984375	cg19900451
0.96875	cg09113141
0.984375	cg08727316
0.140625	cg05183229
0.984375	cg04689409
0.984375	cg02690159
0.984375	cg23774717
0.96875	cg17120366
0.984375	cg12980661
0.984375	cg04779780
0.921875	cg01464351
0.984375	cg18810664
0.984375	cg05199552
0.984375	cg18520121
0.984375	cg03909886
0.78125	cg00248174
0.25	cg27443867
0.984375	cg14083800
0.984375	cg18980469
0.984375	cg14565100
0.4375	cg07451781
0.984375	cg02387380
0.984375	cg24563570
0.984375	cg18732042
0.984375	cg01394540
0.984375	cg05586384
0.984375	cg12397802
0.984375	cg13490244
0.96875	cg12119218
0.984375	cg16990532
0.6875	cg14786403
0.21875	cg25808454
0.984375	cg04161859
0.984375	cg26033520
0.984375	cg04709120
0.984375	cg12276298
0.984375	cg11829033
0.984375	cg03701779
0.953125	cg26171347
0.5	cg21963178
0.984375	cg13604782
0.984375	cg03332295
0.96875	cg05907577
0.984375	cg07817648
0.984375	cg02769794
0.984375	cg22864549
0.984375	cg00945409
0.984375	cg02715021
0.984375	cg04428701
0.6875	cg12603476
0.984375	cg06690989
0.984375	cg04069867
0.984375	cg18608498
0.984375	cg03891929
0.984375	cg17984375
0.984375	cg09747456
0.984375	cg00071751
0.984375	cg26864388
0.984375	cg11113644
0.984375	cg00657058
0.984375	cg11150664
0.984375	cg21794249
0.984375	cg21453238
0.984375	cg16986921
0.984375	cg12759420
0.984375	cg06570967
0.53125	cg12239750
0.984375	cg12211962
0.984375	cg22949458
0.984375	cg27664530
0.78125	cg03650474
0.984375	cg00922825
0.984375	cg03097111
0.984375	cg19649259
0.671875	cg02613380
0.984375	cg15979344
0.984375	cg01227827
0.984375	cg11558850
0.984375	cg02792168
0.984375	cg13227646
0.984375	cg26195366
0.984375	cg04451433
0.984375	cg09073539
0.90625	cg06921011
0.984375	cg09699593
0.953125	cg14310958
0.984375	cg08512462
0.984375	cg17606003
0.984375	cg12198729
0.984375	cg11206312
0.984375	cg11789421
0.984375	cg22675645
0.984375	cg20521125
0.984375	cg10831802
0.984375	cg09873215
0.890625	cg17159890
0.984375	cg17683908
0.8125	cg16132219
0.984375	cg04844038
0.984375	cg24410692
0.5	cg10471876
0.984375	cg09844358
0.984375	cg22795218
0.984375	cg14613617
0.96875	cg07205883
0.984375	cg27290215
0.984375	cg02257750
0.984375	cg02909379
0.984375	cg13706438
0.984375	cg23127694
0.984375	cg12645047
0.984375	cg10280347
0.96875	cg18566515
0.734375	cg06966660
0.8125	cg10576280
0.265625	cg26870126
0.984375	cg15174791
0.984375	cg06549530
0.984375	cg05971678
0.984375	cg15428140
0.984375	cg18441102
0.984375	cg08278520
0	cg18785410
0.984375	cg04457069
0.984375	cg20963263
0.984375	cg14969671
0.984375	cg15138986
0.984375	cg18327147
0.984375	cg05131347
0.984375	cg15716210
0.984375	cg22851378
0.984375	cg08079580
0.34375	cg17828218
0.984375	cg18878654
0.484375	cg19919881
0.984375	cg22047012
0.984375	cg10128659
0.984375	cg17444479
0.984375	cg16156434
0.984375	cg25745246
0.984375	cg16206931
0.984375	cg16826739
0.984375	cg00018024
0.984375	cg08498533
0.984375	cg11194118
0.984375	cg07068327
0.984375	cg10827485
0.984375	cg02885519
0.65625	cg20654619
0.984375	cg13799970
0.859375	cg11243371
0.140625	cg11342694
0.96875	cg08497649
0.984375	cg04246880
0.984375	cg17392909
0.984375	cg07511014
0.96875	cg20365330
0.984375	cg22352122
0.984375	cg19584341
0.984375	cg24778081
0.03125	cg11178574
0.984375	cg02471078
0.984375	cg19515518
0.984375	cg15572146
0.984375	cg10258582
0.984375	cg22404646
0.984375	cg04183158
0.984375	cg18754910
0.984375	cg05685056
0.984375	cg25852200
0.984375	cg14064268
0	cg07538239
0.984375	cg09652964
0.984375	cg13717736
0.984375	cg11331221
0.984375	cg01156550
0.984375	cg13762320
0.984375	cg12617684
0.984375	cg02157755
0.984375	cg20511548
0.984375	cg05344046
0.984375	cg04900179
0.984375	cg27493500
0.984375	cg05894122
0.984375	cg16877606
0.984375	cg26146306
0.984375	cg08935899
0.984375	cg11679142
0.984375	cg15970259
0.984375	cg13569486
0.984375	cg04027043
0.984375	cg10371306
0.984375	cg24094746
0.984375	cg12822583
0.984375	cg14508904
0.984375	cg07226193
0.984375	cg16065008
0.984375	cg24947878
0.984375	cg03109431
0.984375	cg23558842
0.984375	cg01575836
0.984375	cg11529139
0.984375	cg05112209
0.890625	cg08431447
0.984375	cg26410450
0.0625	cg26703758
0.984375	cg23509077
0.984375	cg04189988
0.984375	cg20536209
0.984375	cg25181631
0.984375	cg09201001
0.984375	cg18023041
0.984375	cg07703690
0.984375	cg25381667
0.984375	cg12122597
0.96875	cg00892312
0.984375	cg09537620
0.984375	cg20134916
0.984375	cg05567920
0.984375	cg20738895
0.984375	cg07599644
0.984375	cg16935203
0.984375	cg01177906
0.984375	cg02911637
0.984375	cg11423758
0.953125	cg24824417
0.515625	cg11797994
0.984375	cg18277231
0.984375	cg10646395
0.984375	cg21663341
0.984375	cg26491553
0.984375	cg25993851
0.6875	cg24099544
0.71875	cg12073301
0.984375	cg21638323
0.4375	cg05562425
0.984375	cg05421392
0.984375	cg09767167
0.984375	cg17057783
0.9375	cg11324116
0.9375	cg23127183
0.984375	cg13950001
0.984375	cg11271157
0.984375	cg05234126
0.984375	cg14256568
0.96875	cg27470307
0.984375	cg10330673
0.984375	cg16316624
0.984375	cg03271965
0.984375	cg13324568
0.796875	cg16150798
0.984375	cg18495298
0.984375	cg01370129
0.984375	cg01429471
0.03125	cg08687137
0.984375	cg25217772
0.984375	cg22327576
0.984375	cg18761058
0.984375	cg06767142
0.984375	cg10181845
0.984375	cg05492845
0.984375	cg19148251
0.984375	cg24016056
0.984375	cg21923077
0.984375	cg26968245
0.984375	cg10589249
0.984375	cg19878884
0.015625	cg12603173
0.984375	cg06001777
0	cg11445760
0.984375	cg00809353
0.984375	cg07723217
0.984375	cg26172907
0.984375	cg16716917
0.984375	cg22312910
0.984375	cg25552918
0.984375	cg09783858
0.625	cg16228688
0.984375	cg26679405
0.984375	cg07175290
0.984375	cg12441052
0.984375	cg09648697
0.984375	cg03178691
0.984375	cg09100988
0.984375	cg09967877
0.984375	cg18871984
0.625	cg23692589
0.984375	cg08715489
0	cg23879118
0.90625	cg21747405
0.984375	cg22951283
0.984375	cg19294507
0.015625	cg01666550
0.984375	cg01988459
0.984375	cg23200634
0.984375	cg16182447
0.984375	cg20621635
0.984375	cg00927494
0.96875	cg12652780
0.984375	cg20197694
0.265625	cg18924102
0.984375	cg18210221
0.984375	cg00268518
0.640625	cg00893849
0.984375	cg08733005
0.984375	cg13565400
0.984375	cg04630321
0.984375	cg00376252
0.984375	cg10021803
0.984375	cg22877623
0.984375	cg11197202
0.984375	cg04801779
0.984375	cg22319984
0.515625	cg10157938
0.984375	cg11846494
0.984375	cg16417437
0.984375	cg14728969
0.984375	cg09030501
0.984375	cg10535675
0.40625	cg09114151
0.984375	cg01742905
0.984375	cg03703840
0.984375	cg03680032
0.984375	cg00303293
0.015625	cg11843188
0.984375	cg00137877
0.984375	cg07681260
0.984375	cg23920243
0.984375	cg09808176
0.984375	cg22477592
0.984375	cg10855540
0.984375	cg07809301
0.984375	cg06581840
0.984375	cg11954110
0.984375	cg01360258
0.984375	cg09595067
0.828125	cg21741781
0.5	cg24584993
0.984375	cg17129755
0.984375	cg20127549
0.984375	cg06285590
0.984375	cg02729068
0.984375	cg05483945
0.984375	cg25577367
0.984375	cg03494266
0.984375	cg23021551
0.984375	cg06324801
0.984375	cg19991987
0.984375	cg17091363
0.984375	cg05812663
0.984375	cg26532393
0.984375	cg22234943
0.984375	cg26337816
0.984375	cg15885337
0.984375	cg18057887
0.984375	cg06769296
0.984375	cg18159393
0.984375	cg11781389
0.546875	cg05166248
0.984375	cg01828427
0.953125	cg01398181
0.984375	cg26687441
0.953125	cg23445315
0.921875	cg26086339
0.21875	cg10993517
0.921875	cg01472951
0.984375	cg18743124
0.984375	cg24333145
0.984375	cg18518680
0.984375	cg16390044
0.984375	cg03920169
0.984375	cg02049522
0.984375	cg23311549
0.984375	cg13085895
0.984375	cg27534624
0.984375	cg07380405
0.984375	cg02369879
0.984375	cg21349645
0.984375	cg14435059
0.984375	cg00001793
0.984375	cg12552438
0.984375	cg06136443
0.640625	cg15702800
0.984375	cg07825114
0.984375	cg01854211
0.984375	cg10333808
0.984375	cg17405840
0.984375	cg21330944
0.53125	cg21431042
0.984375	cg10829024
0.984375	cg03841686
0.984375	cg03257475
0.984375	cg16720488
0.96875	cg15088892
0.984375	cg02996897
0.984375	cg26926768
0.53125	cg12114667
0.984375	cg11507597
0.875	cg21053644
0.984375	cg23825570
0.984375	cg16252122
0.578125	cg18829183
0.984375	cg05735659
0.984375	cg02761866
0	cg07277190
0.984375	cg15866213
0.0625	cg23616649
0.984375	cg08992759
0.984375	cg13696135
0.984375	cg06162264
0.984375	cg02570054
0.984375	cg13188416
0.984375	cg05126095
0.984375	cg15122365
0.421875	cg09016212
0.984375	cg13535485
0.984375	cg12060306
0.984375	cg00028929
0.984375	cg11932548
0.984375	cg12610744
0.984375	cg22812972
0.96875	cg10667044
0.984375	cg03668495
0.984375	cg11510999
0.984375	cg17436656
0.984375	cg01833398
0.984375	cg25024717
0.96875	cg11426224
0.984375	cg21140986
0.984375	cg17468665
0.984375	cg07679948
0.75	cg23200371
0.984375	cg01985858
0.984375	cg13610659
0.984375	cg10820766
0.984375	cg03226218
0.984375	cg27617256
0.984375	cg06103029
0.984375	cg06234741
0.984375	cg26640672
0.984375	cg13215110
0.984375	cg10217166
0.984375	cg10447644
0.984375	cg15628953
0.984375	cg13668207
0.84375	cg06889352
0.25	cg18012905
0.984375	cg10403100
0.6875	cg00716604
0.984375	cg03905134
0	cg19588213
0.984375	cg12114820
0.984375	cg13838530
0.984375	cg23537654
0.90625	cg17835455
0.984375	cg26868663
0.984375	cg05691747
0.984375	cg02682233
0.015625	cg05992222
0.984375	cg12877335
0.984375	cg10205403
0.484375	cg00366352
0.984375	cg16576928
0.984375	cg15712226
0.984375	cg04998897
0.515625	cg23672480
0.984375	cg03408359
0.984375	cg04892249
0.984375	cg07295775
0.984375	cg13071569
0.984375	cg02128625
0.984375	cg01797169
0.984375	cg02923571
0.984375	cg20021972
0.984375	cg25124064
0.984375	cg19647611
0.984375	cg05139081
0.984375	cg09053536
0.984375	cg16550264
0.984375	cg17085238
0.984375	cg11944110
0.984375	cg18253279
0.984375	cg23791592
0.984375	cg15641062
0.984375	cg13711314
0.984375	cg03531916
0.96875	cg04598325
0.984375	cg07129647
0.96875	cg02301907
0.984375	cg05914852
0.984375	cg22805813
0.984375	cg20361540
0.984375	cg14403664
0.984375	cg01848323
0.984375	cg00000769
0.984375	cg02976109
0.953125	cg00872086
0.984375	cg09774706
0.109375	cg23416716
0.984375	cg02720442
0.234375	cg19405302
0.984375	cg26352502
0.984375	cg20999795
0.984375	cg04770397
0.96875	cg15448907
0.984375	cg17877704
0.984375	cg15652873
0.984375	cg07854251
0.984375	cg25103726
0.984375	cg01935942
0.984375	cg12406879
0.984375	cg23194712
0.984375	cg00353675
0.984375	cg23844154
0.984375	cg19945931
0.5625	cg00105852
0.984375	cg15406377
0.984375	cg19590591
0.015625	cg12525596
0.984375	cg24000316
0.953125	cg07007834
0.984375	cg12255362
0.984375	cg13289241
0.984375	cg19710909
0.984375	cg05177676
0.984375	cg24660824
0.984375	cg10698984
0.984375	cg23998351
0.984375	cg18743175
0.984375	cg03777697
0.984375	cg03966514
0.984375	cg21662160
0.984375	cg08228917
0.984375	cg03114560
0.984375	cg00128718
0.953125	cg03567028
0.984375	cg20809771
0.984375	cg21251227
0.96875	cg18373279
0.03125	cg10552385
0.984375	cg09890241
0.671875	cg24911754
0.984375	cg00201414
0.984375	cg26737458
0.984375	cg07869104
0.984375	cg19442730
0.984375	cg24518824
0.984375	cg20054182
0.984375	cg17562550
0.984375	cg22558303
0.984375	cg22203300
0.984375	cg27053299
0.984375	cg16105906
0.984375	cg07937672
0.984375	cg25317585
0.984375	cg12232240
0.984375	cg21306988
0.984375	cg26162150
0.96875	cg03994318
0	cg17070338
0.984375	cg16682206
0.984375	cg00733288
0.984375	cg26951340
0.984375	cg14270002
0.984375	cg03702675
0.296875	cg03586128
0.875	cg14550076
0.984375	cg16351318
0.984375	cg23957126
0.984375	cg14339867
0.984375	cg01200763
0.984375	cg22783940
0.984375	cg20009378
0.984375	cg25875209
0.984375	cg13462799
0.984375	cg15365367
0.375	cg17466535
0.5	cg14097171
0.984375	cg18551129
0.984375	cg04189328
0.984375	cg26408600
0.984375	cg00536058
0.984375	cg02047889
0.984375	cg08226111
0.53125	cg13012916
0.984375	cg05946827
0.890625	cg05842348
0.984375	cg22290048
0.984375	cg15413377
0.40625	cg21485150
0.984375	cg01548763
0.921875	cg22527535
0.984375	cg18380353
0.25	cg16389901
0.984375	cg07449447
0.984375	cg12083184
0.984375	cg13023623
0.984375	cg10376725
0.984375	cg24014141
0.6875	cg05202450
0.984375	cg01374783
0.046875	cg01392253
0.296875	cg08186508
0.984375	cg02941385
0.203125	cg08970368
0.984375	cg04463745
0.984375	cg11445579
0.140625	cg05701341
0.984375	cg01366705
0.390625	cg17826543
0	cg03047785
0.984375	cg11591809
0.984375	cg06956232
0.984375	cg14987354
0.984375	cg25956248
0.984375	cg17320164
0.984375	cg27015810
0.5	cg13011999
0.984375	cg20051795
0.984375	cg14547936
0.984375	cg23304605
0.984375	cg09999096
0.625	cg22138430
0.9375	cg23327070
0.984375	cg15377113
0.984375	cg23464271
0.984375	cg12180372
0.984375	cg27259566
0.984375	cg18885372
0.984375	cg05369327
0.984375	cg18247281
0.984375	cg26168469
0.984375	cg01270466
0.125	cg16062483
0.984375	cg09151181
0.984375	cg10528576
0.953125	cg08175935
0.984375	cg05545410
0.984375	cg19730972
0.90625	cg01659459
0	cg20474699
0.984375	cg22920967
0.984375	cg03520401
0.890625	cg01653080
0.984375	cg19700746
0.984375	cg23007425
0.984375	cg27158340
0.984375	cg05345448
0.53125	cg14952077
0.921875	cg02012853
0.984375	cg25339913
0.984375	cg26505822
0	cg14859324
0.15625	cg09562591
0.765625	cg00028598
0.984375	cg13895409
0.984375	cg03357803
0.984375	cg15885628
0.96875	cg11466962
0.984375	cg13038216
0.53125	cg18556777
0.75	cg00659991
0.984375	cg05297237
0.015625	cg04097963
0	cg00185634
0.984375	cg00499859
0.328125	cg02294730
0.984375	cg02684808
0	cg02487020
0.109375	cg09642777
0.984375	cg01505676
0.984375	cg10144958
0.984375	cg15188810
0.984375	cg00304072
0.984375	cg04921307
0.546875	cg03370588
0.984375	cg08014700
0.984375	cg23894291
0.984375	cg21034289
0.03125	cg01003021
0.984375	cg15813197
0.984375	cg04221794
0.984375	cg18257839
0.984375	cg02658693
0.015625	cg03834947
0.984375	cg06130371
0.984375	cg19611612
0.4375	cg22139212
0.984375	cg00237475
0.984375	cg04548331
0.984375	cg26888312
0.5625	cg05179020
0.96875	cg21791657
0.984375	cg07082715
0.046875	cg09932386
0.984375	cg09572373
0.984375	cg08449361
0	cg24396745
0.984375	cg19698416
0.03125	cg20596493
0.984375	cg21994152
0.984375	cg17183213
0.9375	cg13035254
0.984375	cg16242106
0.984375	cg07127468
0.984375	cg17549601
0.5	cg12860098
0.984375	cg11865553
0.015625	cg22967516
0.984375	cg19392911
0.984375	cg02183105
0.984375	cg02666541
0.984375	cg07089403
0.984375	cg15933514
0.984375	cg03987813
0.984375	cg17604209
0.921875	cg19380361
0.984375	cg25100926
0.984375	cg05727564
0.3125	cg05538151
0.984375	cg19567891
0.984375	cg12598235
0.984375	cg12267558
0.984375	cg10721782
0.984375	cg15008132
0.984375	cg10523450
0.9375	cg17731560
0.984375	cg08842154
0.984375	cg25576961
0.984375	cg04928180
0.984375	cg24204532
0.515625	cg17263974
0.984375	cg07650936
0.984375	cg14658461
0.984375	cg21704510
0.4375	cg01552128
0.484375	cg08581018
0.96875	cg07994580
0.9375	cg03582827
0.984375	cg09664373
0.984375	cg26782218
0.421875	cg04581613
0.984375	cg00769818
0.734375	cg08968904
0.984375	cg19642026
0.96875	cg01672455
0.984375	cg04047483
0.984375	cg06659904
0.03125	cg06740963
0.984375	cg07474076
0.984375	cg02350295
0.984375	cg06912227
0.8125	cg16628641
0.984375	cg24748931
0.984375	cg05345527
0.984375	cg00547560
0.84375	cg16783478
0.984375	cg10322510
0.984375	cg01366941
0.984375	cg12485986
0.984375	cg24652318
0.96875	cg27463760
0.984375	cg27133583
0.546875	cg09629753
0.984375	cg08956724
0.984375	cg03681150
0.96875	cg11513352
0.984375	cg07598755
0.984375	cg21511045
0.984375	cg03942436
0.984375	cg03087852
0.984375	cg01552792
0.953125	cg01032946
0.984375	cg02190678
0.984375	cg26767387
0.0625	cg09672912
0.578125	cg10244268
0.984375	cg04864062
0.984375	cg06667589
0.984375	cg08087868
0.984375	cg09148362
0.015625	cg23433828
0.84375	cg04622777
0.96875	cg23455227
0.875	cg22968327
0.984375	cg08397794
0.984375	cg15684600
0.984375	cg16628556
0.984375	cg07346017
0.96875	cg27233675
0.984375	cg04010817
0.984375	cg16473610
0.984375	cg08931102
0.984375	cg04153326
0.875	cg03338348
0.984375	cg00285314
0.984375	cg10426893
0.984375	cg00748373
0.59375	cg16700650
0.984375	cg09409435
0.984375	cg07260739
0.984375	cg18710234
0.984375	cg19733839
0.984375	cg00044430
0.984375	cg14690395
0.984375	cg09427745
0.984375	cg16487653
0.984375	cg11750282
0.984375	cg16729538
0.984375	cg10800941
0.984375	cg10696524
0.984375	cg23292201
0.984375	cg05149839
0.984375	cg05255305
0.921875	cg04833938
0.984375	cg10366868
0.015625	cg09282336
0.984375	cg08858669
0.984375	cg27596096
0.96875	cg05518022
0.984375	cg05232596
0.65625	cg05344293
0	cg10544883
0.984375	cg01985226
0.34375	cg00804091
0.984375	cg16702747
0.984375	cg04645050
0.984375	cg07412315
0.984375	cg00347882
0.984375	cg00930706
0.65625	cg16254997
0.984375	cg00435723
0.984375	cg03847052
0.15625	cg09607566
0.5625	cg26862691
0.5	cg09428537
0.984375	cg01890681
0.984375	cg23730222
0.984375	cg13178709
0.984375	cg06797938
0	cg24534173
0.953125	cg22116712
0.65625	cg16551483
0.984375	cg06150297
0.984375	cg02295678
0.765625	cg10347199
0.359375	cg03666441
0.984375	cg14735861
0	cg05529097
0.984375	cg22253255
0.78125	cg00674395
0.953125	cg14893889
0.984375	cg06858294
0.015625	cg25485991
0.984375	cg04482798
0.671875	cg14865717
0.984375	cg24555615
0.09375	cg15837531
0.984375	cg12484593
0.96875	cg09474319
0.921875	cg06105681
0.796875	cg12074093
0.984375	cg27131197
0.59375	cg20189467
0.578125	cg18528094
0.984375	cg11515089
0.984375	cg17876831
0.015625	cg21880149
0.890625	cg10001590
0.984375	cg08843769
0.984375	cg02491199
0.984375	cg27050769
0.96875	cg19839421
0.984375	cg08559310
0.984375	cg02021743
0	cg02090742
0.984375	cg26968087
0.71875	cg21745612
0.984375	cg21390082
0.984375	cg11830880
0.984375	cg09223850
0.984375	cg11290922
0.984375	cg20018022
0.984375	cg25140180
0.375	cg15251212
0	cg23367339
0.984375	cg01715949
0.984375	cg23350032
0.984375	cg21338031
0.875	cg09133953
0.84375	cg15434413
0.6875	cg27036730
0.203125	cg04484789
0.984375	cg02927821
0.984375	cg22298418
0	cg18054956
0.1875	cg16024729
0.25	cg04608651
0.984375	cg13614092
0.984375	cg00322667
0.984375	cg07408062
0.984375	cg20293674
0	cg12842219
0.984375	cg14567414
0.203125	cg16892393
0.984375	cg11607332
0.984375	cg26989291
0.984375	cg03782381
0.984375	cg08568298
0.984375	cg15295732
0.984375	cg20099416
0.84375	cg24910739
0.03125	cg08452456
0.984375	cg27530239
0.984375	cg22922343
0.984375	cg17769925
0.984375	cg25039722
0.984375	cg05765482
0.984375	cg15892664
0.71875	cg05616550
0.859375	cg10932289
0.015625	cg27456487
0.625	cg05162750
0.984375	cg07871369
0.984375	cg09385632
0.984375	cg15846907
0.578125	cg13777502
0.859375	cg18117780
0.984375	cg15253816
0.203125	cg01036409
0.984375	cg24098807
0.5	cg09409434
0.984375	cg26758486
0.90625	cg13537156
0.9375	cg13745142
0	cg23714330
0.0625	cg16361383
0.984375	cg08122789
0.984375	cg00466466
0.984375	cg23834812
0.5	cg03066754
0.984375	cg25174840
0.984375	cg24701295
0.984375	cg25292316
0.984375	cg26438409
0.3125	cg02096758
0.984375	cg19270309
0.984375	cg06350353
